"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"RBM42",10397.7,10700.6,10458.2,7934.69,14851.5,7500.46,11461.5,5127.07,13475,5768.21,13503.7,5437.16,10215,8060.42,2952.3,9622.4,4750.52,9225.72,9942.24,8218.42,12749.1,8621.84
"RBM45",NA,NA,646.179,189.864,754.311,639.713,790.214,475.016,453.456,NA,409.674,273.269,233.966,106.693,NA,NA,NA,618.863,170.475,NA,NA,315.539
"RBMX",10968,4887.94,9125.09,5624.75,16302.2,10597.6,12039.8,11347.3,7401.06,6004.53,11327.9,9898.5,9113.02,11136.9,NA,NA,1198.2,NA,9077.64,7259.82,10971.6,12152.6
"RBMX;RBMXL1",27077.8,25219.1,21832.7,31309.9,54431.4,45629.8,40375.8,43761.4,25842.9,22110.4,37275.1,34765.1,39357.7,49326.7,5522.43,NA,4064.6,2563.62,31723.6,40656.2,55134.1,56188.9
"RBP1",820.978,NA,2153.86,936.51,NA,590.754,NA,NA,NA,NA,NA,NA,2333.41,8543.13,1457.84,1614.35,1576.67,1048.04,1279.05,3114.49,6264.82,11647.3
"RBP4",1654.96,569.248,2338.77,846.812,29735.5,3693.95,8690.14,3275.98,6014.55,1095.4,3560.44,4969.48,3711.95,847.476,28239.5,34736.5,28439.3,14498.2,2042.58,1163.75,2498.3,1348.35
"RBPJ",3459.69,2119.41,3576.01,2724.99,9918.7,5254.59,12334.9,4580.05,2688.03,622.52,7012.81,3533.67,3045.68,2354.15,2738.66,1652.76,2767.23,966.219,2138.31,3437.18,2298.19,3184.73
"RBPMS",12459.2,9856.12,16519.8,11643,17157.7,11119.5,12251.7,8426.28,16116.6,8328.86,11557.6,8536.38,19291.4,13311.9,23388.4,13542.1,14814,17635,11379.3,16140.8,15557.5,25121.6
"RBSN",772.883,538.604,525.726,951.509,243.47,734.344,628.791,1148.2,360.784,538.237,795.048,710.013,426.989,579.202,344.897,801.3,557.813,634.522,410.525,335.25,606.337,485.928
"RBX1",19710.1,22128,27377.1,18739.4,27796.4,23959.7,23954.5,18286.2,27345.9,21917,24801.3,20748.1,13256.7,21075.7,15705,17434.2,20899.2,21187.9,19201.2,22907.3,18107,20470.3
"RCC1",24791,19393.3,22695.2,17256.9,27256.5,27551.5,29297.7,25574.3,22543.8,20131.2,21765.2,18102.2,15786.7,36240.4,9695.04,14867,9754.27,14160.7,21489.2,20278.2,27702.7,18308.2
"RCC1L",1541.42,1370.15,1378.67,1586.79,937.072,2551.29,1927.52,2176,1554.67,2207.07,1711.22,2155.48,1438.69,1432.9,1034.97,1459.51,1338.97,1359.48,1221.94,1452.15,983.218,1000.15
"RCC2",10849.6,5035.35,8760.94,3894.02,9531.56,6556.27,9532.23,6266.41,8543.67,5224.23,6806.67,4809.19,7721.93,819.494,5806.76,207.046,6549.28,1918.97,7509.79,6079.06,9878.62,6475.6
"RCL1",1070.84,278.629,1155.4,517.034,780.544,852.115,1370.4,861.747,967.984,552.733,1297.84,598.407,754.278,571.877,NA,NA,NA,NA,966.631,913.966,1081.54,1072.87
"RCN1",112950,164330,143843,137411,94047.8,97189.6,58047.8,71991.2,139191,158836,91819.9,127380,56160.9,157229,113422,159816,109520,173830,48806.3,136475,107120,129360
"RCN2",7494.86,10417.4,13751.3,9631.09,15915.1,7356.54,7807.15,8172.46,15976.1,13309.8,9639.71,12559.6,6698.63,9378.4,16262.5,15878.6,9801.53,12679.7,12978.7,14684.4,9064.3,10882.9
"RCN3",100551,105791,132976,76019.8,119901,76616.3,69182.1,53508,132848,110033,87689.5,93025.2,34595.2,63533.6,105120,61172.8,88099.5,33808.8,73508.2,132270,64091.5,67705.5
"RDH10",3674.75,3064.99,1099.41,3149.74,1369.1,1406.37,980.194,1325.29,2466.91,2427.2,3716.98,1930.99,3741.45,2603.09,3042.45,3930.38,4590.86,2655.83,5959.85,2649.35,3871.57,1463.15
"RDH11",26024,33200.4,23355.4,27165.5,17103.3,25798.2,21620.8,19079.1,24013.8,32347.3,27924.6,25512,20976.3,36900.9,22152.5,36936.2,26206.9,42507.7,23648.9,31695.8,25128.2,33314.2
"RDH13",1901.14,1611.26,3747.24,3490.73,2356.51,2628.85,1751.45,1893.72,1064.34,1968.75,3909.28,2677.08,3659.21,4753.36,2057.25,4181.71,1711.37,3132.09,2684.93,2950.62,3272.62,3775.32
"RDH14",12306.5,8496.96,11786.7,14852.2,9169.57,8724.12,10693.6,8332.39,9957.03,10548.4,13120.3,11451.1,8203.76,11482.5,9665.04,20093,11407.5,14552.2,6946.68,13669.3,8673.54,13931.1
"RDH5",2040.2,NA,2976.73,423.349,472.304,476.221,1057.37,NA,1868.45,648.742,1264.94,NA,671.819,615.32,1857.4,NA,2849.17,103.871,348.653,603.726,1137.27,298.002
"RDX",24106.3,13050.8,31932.9,12601.7,30205.8,27741.4,22813.5,27103.4,29090.2,25602.2,19668.6,30934.6,11989.4,21854.8,17849.6,17012.6,18437.3,14940.5,14867.3,28301.9,20697,19831.5
"RECK",6648.79,10099.4,5090,8417.05,7608.99,12995.7,10568.5,14448.4,6572.9,8971.8,6547.33,11714.6,7458.42,19029.9,24896.6,25108,17262.2,22242.6,8744.96,28869.1,16437.3,33505.3
"RECQL",25015.2,20145.2,25182.8,19380.4,25729.4,25877.2,31144.9,27059.1,26504.6,25714.1,36858.3,25571.5,20057.1,37217.5,13155.9,23186.2,15303.2,26569.6,23411,25804.5,22874.7,27560.8
"REEP5",32520.2,38998.4,35379.6,36872.3,23876.7,30155.9,30311.9,30620.9,35462.7,31030.9,29251.2,39976.9,19045.1,38912,30044.9,37856.4,35418.7,43287.6,23991.9,39348.6,26877.7,25566.6
"RELA",6693.36,5707.01,9057.38,6281.49,8318.13,7038.71,8260.94,6281.24,7701.58,8147.91,7873.12,7068.76,5526.98,6626.78,7434.35,5959.38,7823.89,7639.76,7420.03,8377.7,7879.84,7788.16
