"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"SFXN1",16.93713,16.76992,16.68992,17.0938,16.60604,16.69002,16.70194,16.68789,16.98326,16.94756,16.96809,16.50219,17.72677,17.72726,16.98939,17.52997,17.39979,17.3435,17.67654,17.49548,16.77775,17.46954
"MRPL44",15.43205,15.35991,15.08775,15.30735,15.0832,15.28593,15.29923,15.3274,15.40234,15.29806,15.37852,15.46979,15.20413,15.11684,14.91462,15.34284,14.98085,15.44738,15.28842,15.39094,15.09341,14.70942
"FN3KRP",16.22457,16.08117,15.80386,15.96896,15.79674,15.99233,16.25909,16.15197,16.17622,15.87861,15.97266,15.90459,15.46578,15.51809,15.67995,15.59365,15.7084,16.51577,16.49806,16.75991,16.10808,15.49494
"CARS2",15.7568,15.55237,15.67218,15.96531,15.5805328428642,15.73336,16.07871,16.16907,16.29347,16.20001,16.0183543344984,16.0984115980295,15.493678690134,15.77523,15.3250468276926,15.09244,14.74801,15.83007,16.14511,15.8733410185463,15.3952,15.4893683066102
"PPCS",15.76888,14.93947,15.36803,15.65467,15.35538,15.67322,15.72294,15.68521,15.83103,15.66187,15.43752,15.24915,15.7919537623505,15.7866038443054,15.48429,15.41499,15.09071,15.61933,15.65956,15.72835,15.50007,15.99866
"GNB4",15.93218,15.5445354296342,16.44132,15.85167,15.85912,16.21288,16.03199,15.70694,16.74368,16.29025,16.2469094157958,16.1008874920585,16.28682,15.74169,15.1186,16.08676,15.82882,16.29495,15.19913,15.40385,16.00071,16.55395
"XPO5",14.82119,14.93401,14.66938,14.89073,14.56544,14.49831,14.8446,14.77498,14.79589,14.57546,14.47896,14.69479,15.12653,14.5939109468605,14.46061,14.82343,14.40515,15.17859,14.96454,14.70015,14.59369,14.75311
"GRPEL1",16.06274,16.34453,16.12992,15.90371,16.0904,15.9919,15.99927,16.08102,15.77977,16.06981,16.25216,16.29538,15.88514,16.05151,16.26009,16.24127,16.07378,16.30212,16.72311,16.62256,16.02556,15.7311
"MYG1",17.52181,17.25174,17.0434,17.35958,16.96985,17.01063,17.08569,16.86756,16.80406,17.06847,16.67496,16.62853,17.02158,16.87817,16.75572,17.17808,17.1339,17.18924,17.02,17.06684,17.14825,16.92017
"CACYBP",17.29258,17.24865,17.31474,17.02051,16.99877,16.71882,17.06314,16.98637,16.64859,16.67992,16.74922,16.39823,17.27451,16.90992,17.35752,17.66095,17.49309,17.09471,16.67981,16.90432,17.211,17.2513
"RRAGC",15.74521,16.47164,16.10761,16.39923,16.78632,16.59329,16.23441,15.96485,16.78697,16.33807,17.11139,16.97034,16.32761,15.95905,15.68159,15.78092,15.60181,16.78257,16.66702,16.02802,16.17266,15.88607
"RDH14",15.75912,15.67249,15.80765,15.89353,15.7314022424787,15.6313,15.55026,15.6726,15.78607,15.7974,15.9292,15.9151667892691,16.01132,15.71949,16.03482,15.33656,15.67309,16.14707,16.37101,16.40439,15.81179,16.01158
"TMEM165",15.51622,16.21358,16.05122,16.25755,16.38379,16.15386,16.87154,16.893,16.38837,16.51569,16.73959,16.63919,15.96751,16.10533,16.2309,16.30584,16.14032,15.9282206114732,15.0420880779769,15.26902,16.25304,16.32228
"EML4",16.61718,16.78608,17.06029,17.01636,17.21037,17.31316,16.74769,16.63423,17.05407,16.71878,17.18388,17.07109,17.06491,16.9246,16.27431,16.64751,17.14996,16.70752,16.47647,16.94449,16.9433,16.57441
