"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"HNRNPK","1688956.9","1278776.1","1052134.0","1144661.8","1035423.06","1025025.75","1169763.9","1167398.6","947959.9","951644.56","931803.2","725986.7","1414512.9","756964.56","915134.25","1384567.2","1328113.9","1161946.9","747190.4","793039.6","1134657.0","1204565.9"
"YWHAG","967321.6","840075.94","1040425.6","876032.75","922942.0","1158418.6","905141.75","902493.06","1119623.1","1065243.6","1117691.2","1075156.9","850694.7","1312225.2","1308193.6","1010341.8","1070492.2","1213720.2","1577890.8","1558166.2","1144760.2","1064527.2"
"RRAS2","74985.82","103796.71","129962.19","94981.12","96660.016","110170.695","106913.13","106814.05","114798.39","97854.12","110413.61","72072.85","96586.164","193659.0","175432.56","93598.8","124855.94","178122.5","161410.36","161392.7","173805.19","129534.336"
"TIMM10","49666.64","55840.434","50184.906","45441.65","44577.246","54356.215","43271.12","54037.54","45803.605","53544.816","46581.473","61123.945","0.0","0.0","37442.04","25048.0","37165.152","73153.055","72385.625","58497.844","45693.246","27226.951"
"RPS7","1268160.2","855877.4","910999.7","937380.9","678836.0","762434.7","819834.06","649997.3","710092.44","706608.8","613262.9","512677.2","979722.25","923793.8","996479.44","1168585.5","949375.9","687821.0","268621.38","421543.62","758592.0","950925.44"
"PPP1CA","190308.66","185230.77","192517.72","247686.88","177904.89","201473.98","212616.4","186007.31","173053.89","161677.53","173146.62","158145.48","221876.31","106101.98","131263.66","224651.89","234436.69","207369.52","166304.25","170099.05","205222.61","203966.9"
"PPP1CB","656328.25","566562.25","623622.2","646244.44","578702.7","622631.25","604955.25","558542.3","676724.4","643564.06","624481.56","613410.7","619432.7","431483.66","447971.0","619811.9","577569.44","657949.75","449008.7","520024.1","649286.44","735072.7"
"NCS1","29532.176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17746.236","0.0","0.0","0.0","0.0","0.0","28906.262","0.0","0.0","0.0","0.0","0.0","0.0"
"PSMC1","269047.84","206471.33","244782.77","226356.45","183721.86","234931.33","227092.81","202694.03","262286.1","233818.64","233793.55","192131.7","242596.89","259832.95","238071.1","290512.7","237036.4","246434.44","251414.28","212707.77","213456.4","219688.81"
"PSMC5","228901.8","191102.12","231443.97","222982.03","196923.98","231351.94","205056.88","189541.23","239817.89","210302.02","215756.6","206986.0","243504.53","200564.17","183809.6","281431.22","223198.47","197033.06","209868.4","206457.14","202474.39","208833.53"
"RPS8","656322.5","439022.53","595357.75","515571.34","429707.4","449208.8","545733.06","444067.7","495701.88","464724.2","451893.12","298590.0","1272473.1","1157759.1","1323609.6","927658.5","889451.1","369244.66","228863.64","394707.03","554501.06","908206.0"
