Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
A2M	326788	110526	363043	127635	626237	237604	209016	103599	376038	242362	486202	122441	369188	62697.5	761274	517167	395140	344594	419927	226721	307153	34733.8	265319	30830.4
AAAS	2382.53	1729.02	1830.59	2274.39	2359.96	1726.28	2458.6	1998.97	1653.46	2106.27	2808.78	1687.73	2407.47	2880.09	764.137		550.762	977.703	457.446	925.614	1955.72	1589.7	1911.47	2950.21
AACS	2254.56	2012.72	2132.15	1700.3	1664.71	3042.88	1383.55	1827.78	3039.11	6785.47	3267.32	4047.93	2150.57	1158.32	2752.81	2090.62	2067.27	3014.75	4533.51	1823.49	3450.08	2490.88	2395.07	3478.44
AADAC			1385.45										1775.41				2621.74			744.151	2258.17	1422.38	1768.81	
AAGAB	1642.5	1687.59	3461.66	1660.31	2917.87	1979.28	2363.81	1540.04	3003.95	2682.28	2781.12	2468.77	2833.59	718.728	2512.43	676.746	1548.86	1022.39	2131.32	1390.56	2475.23	1779.66	2115.4	2357.09
AAK1	8583.12	8525.21	7924.44	7443.57	7364.67	6428.82	7812.24	5929.04	8700.69	7377.23	7403.07	7396.86	4122.97	5776.85	4341.93	4304.44	5769.18	6585.33	8720.26	6816.2	4309.16	6489.87	5994.47	5468.45
AAK1;BMP2K	1022.4	583.968	1136.45	1122.52	2442.87	416.211	896.37	319.302	2502.96	1705.71	1492.67	1331.46	745.1	714.438	2101.34	1466.65	3489.92	731.82	1794.28	1515.64	4461.26	943.751	2601.2	2161.67
AAMDC	3000.98	4627.3	8189.82	7176.76	5193.4	6063.22	5108.67	6713.31	4491.58	6705.21	6215.19	6730.99	6837.97	9510.92	3258.14	4949.82	7830.82	7037.29	4408.14	7357.18	3053.69	5489.4	6164.13	4209.19
AAMP	5781.41	4135.27	5834.11	3360.36	6648.29	6345	5783.96	5332.35	6525.18	2206.81	4538.91	4593.06	3901.26	3839.36	3615.1	1255.49	4082.25	4952.82	6327.21	3971.09	4287.29	4842.4	6769.25	3833.98
AAR2	2671.27	1220.74	2491.01	3452.26	2628.58	1783.95	3268.87	3196.79	2094.91	2221.78	2535.94	2927.71	2171.28	1741.55	3332.39	2720.69	2231.12	2789.08	3185.18	2632.67	2410.14	2377.63	2247.24	2737.65
AARS1	42998.6	33773.2	47111.5	25156.1	43733.9	34891.7	51570.8	30271.8	48790.2	37146.4	42096.2	35706.5	37557.6	40226.4	37660.3	33939.1	43488	39181.6	41043.2	46149.5	50772.4	48766.3	48451.5	35975.7
AARS2	1816.11	1574.28	2303.6	1025.4	2336.8	2372.19	2435.06	2173.26	1137.84	1916.26	2312.89	1957.45	1835.88	2799.8	1596.95	1433.78	1867.36	2373.12	1405.64	2078.23	1922.65	1540.99	1648.88	2008.68
AARSD1	4027.78	5121.05	5766.11	4910.54	6639.09	6643.66	5549.9	5163.46	6798.81	5421.75	8648.26	4841.79	3121.31	6087.84	4758.38	3111.8	2930.64	3838.38	5760.33	5586.92	5254.11	6212.61	6000.62	6505.72
AASDHPPT	4512.87	5127.13	6261.98	5194.8	4985.77	4431.27	4139.08	3972.94	5545.24	4817.36	3546.31	3154.09	4220.06	4158.96	4350.94	5412.77	3558.54	5346.28	6312.95	6958.39	4679.21	4425.96	6079.79	5170.23
AASS	2911.32	2025	2088.91	2205.71	1838.26	2837.36	2229.05	4426.41	1676.89	2750.28	2331.62	3850.56	2539.88	5721.39	996.048	3879.27	2224.93	5660.57	2644.22	4357.2	1447.39	3472.87	2104.96	3069.87
AATF	2788.66	1226.48	2099.34	1853.42	1962.67	2249.97	2761.8	3200.59	2028.73	1434.87	2689.14	2020.27	1400.02		329.909					997.369	1781.74	1798.22	2421.71	1645.04
ABAT	1271.9	2668.17	2584.6	2938.6	938.724	2095.09	889.142	3627.42	1771.34	2717.32	1242.44	3271.33	1183.15	2976.61	1594.53	4874.67	2626.45	3688.47	2599.85	4144.27	925.016	1148.63	1488.66	4237.63
ABCA1	310.001	674.397	635.491	502.76	569.338	363.204	754.035	674.654			735.827		290.153	637.414	540.081	561.895		701.162	545.997	387.081	217.679	540.172	323.537	683.88
ABCA6		1148.1		1751.89		1260.9		2196.15		1014.63	809.677	1401.28	1643.94	2680.75		634.773	945.695	1555.33		1064.78	1114.8	1908.72	571.021	1141.02
ABCA8		445.861		427.123					136.239			479.365	338.608	218.18			27.5504		387.49	14.6019	46.059	607.285	30.7851	194.072
ABCB10	698.257	1428.56	1823.32	1392.99		443.093	1331.88	1809	1407.59	632.467	376.908	1083.26	73.2936	719.441			1555.42		1275.68	7.49627	453.569	1171.18	1065.78	545.427
ABCB10;ABCB8	3718.03	4984.04	5226.2	5065.18	3547.17	6621.86	4922.74	3378.43	4495.58	7365.51	7858.97	4956.43	9054.53	6406.23	9395.99	4968.04	13716.6	8528.9	5386.42	5444.73	6088.33	3607.59	5831.51	7642.82
ABCB6	2836.07	2805.59	2934.9	2997.62	2410.4	3585.17	4874.48	4944.98	3077.52	4324.94	3461.21	4777.47	2064.91	3065.49	2821.45	3088.43	1698.22	4099.06	2722.15	4188.38	2555.88	2276.81	2535.05	3175.21
ABCB7	3220.11	3187.69	4155.44	3909.68	2726.06	3974.58	3441.11	3465.53	2419.78	3488.25	3287.85	4398.6	1931.81	3577.41	1356.01	3143.6	5072.65	6181.18	2371.03	5544.82	1761.06	2203.84	3205.78	3424.43
ABCB8	1757.88	1279.04	1534.7	444.664	530.972	1387.38	2435.4	1464.75	1059.6	1273.52	1583.43	1382.47	600.229	1018.99	1554.47	2105.46	478.238			1291.34	1384.37	880.503	472.677	804.158
ABCC1	6447.22	5675.08	8162.81	5871.1	8056.82	10176.9	13147.8	11981.1	6427.72	7495.21	11406.3	8324.79	8505.45	8131.22	6540.12	7127.22	6438.56	6596.11	6114.61	7764.19	8311.01	9457.46	11506.2	9310.87
ABCC10	582.011	1089.21	1022.6	1042.23	414.204	375.029	947.591	529.44	630.859	1038.33	1542.75	1176.15	417.742	584.252	264.621	532.383	489.518	1010.37	481.304	496.398	444.267	721.696	430.468	1197.4
ABCC3	717.095	2075.52	4423.5	1012.63	823.784	3086.32	1618.69	3849.37		1472.12	1327.55	1913.97	512.21	4698.35		905.448		1588.58	1313.45	2344.88	1765.37	3061.49	1314.75	4226.65
ABCC4	3192.36	6611.89	4096.43	9500.91	2716.23	3732.42	2965.25	3359.85	2469.19	6983.15	3484.41	3585.97	2873.95	5576.88	1919.89	3726.17	1210.36	4712.88	2877.11	7038.42	2583.38	3119.16	2910.76	7429.71
ABCD1	4167.65	3837.89	6099.61	5833.34	1475.25	2910.79	2993.02	3630.18	2964.24	5452.51	3625.18	4285.77	4220.17	4688.66	2557.39	4753.12	3181.41	8761.32	4599.87	5524.52	2597.95	5223.02	4863.89	6835.36
ABCD3	9886.97	9586.04	7408.55	10022.3	3378.91	6857.26	7975.75	7298.88	7999.16	9339.74	7775.11	9235.8	12548.2	9101.46	9006.58	11011.3	10023.3	9758.2	16387.9	17018.9	4866.85	8965.59	8992.7	11061.3
ABCE1	15426.5	13088.8	13475.6	12812.3	14404.3	17795	15956.2	14666.6	17651.1	15029.2	17170.5	15733.7	17488.4	19793.5	13053.5	13776.1	16680.6	18367.4	20879.8	17256.7	17298.1	17491.9	18420.9	18933.6
ABCF1	15466.1	6703.04	16176.7	4914.9	15866.4	18926	15092.3	17007.9	18141.9	18522.9	17282.2	18703.2	11742.2	2593.67	9508.12	329.646	9630.63	1658.89	16446	2677.44	12741	16628.7	16177.7	16701
ABCF2	12115.4	13627.2	13725.7	13400.3	11452.3	13592.8	12698.2	12610.9	17059.9	12319.1	10374.8	12885.5	13088.6	10517	10529.5	6471.66	9259.74	10437.7	19439	11041.3	9836.72	13479.8	13440.2	12490.7
ABCF3	2646.37	4109.58	4139.27	2791.46	2667.62	2596	3064.5	2426.34	3106.26	2958.11	4258.59	3420.37	3405.73	3061.31	2672.73	1603.34	2539.14	3394.92	5340.81	4803.73	2462.21	2263.63	3777.02	3195.66
ABHD10	8854.12	7787.08	9164.4	7967.12	7748.95	6730.94	4811.91	4855.71	10342.4	9669.63	9620.77	8093.93	6375.19	10416.7	5181.34	9562.98	5885.75	10582.4	5328.09	11996.2	7108.03	10452.2	8416.21	6621.44
ABHD11	5010.21	3826.75	4203.58	4318.42	5676.99	3594.86	4375.94	2264.43	5193.56	3454.77	7121.27	3354.85	2911.4	3800.3	3366.64	3706.83	1982.5	1991.46	1348.57	1438.84	2278.28	2229.24	2815.66	2463.11
ABHD12	5705.79	5851.62	6379.76	5218.57	4604.44	5892.95	5832.71	8206.14	5541.14	5856.2	7489.5	5861.87	4566.62	4828.55	5640.93	6958.6	5596.56	7077.48	12929	10350.3	5728.3	6693.1	8393.92	7030.29
ABHD14B	51587.3	45676.5	47328.6	63355.1	37377.1	45622.6	46169.3	55042.7	43163.4	50641.2	42715.9	57822.3	24457.3	45576.4	33844.7	42007.3	28699.4	58354.6	24845.7	44866	20309.5	39613.1	27543.1	36196.8
ABHD16A	2126.52	4220.73	2701.24	8277.42	2181.42	3559.7	4440.12	3337.56	3818.39	3842.83	4231.89	3012.3	3980.76	2885.93	4821.65	5545.7	4913.05	4939.29	6106.87	5864.31	3093.43	3233.11	4051.55	3343.38
ABHD17B	397.116	552.721	368.214	662.95	207.412	487.152	615.179	463.338	341.633	380.357	193.34	1480.01	277.267	472.169	315.748		191.896	626.874		546.647	135.702	157.983	134.578	127.099
ABHD4	902.414		1038.86		1731.91	1901.16	2086.62	1356.08	1653.46	1464.38	2240.26	1784.11	1083.47		200.963	374.845					1241.14	1296.54	2149.31	645.809
ABHD5					641.678		635.125		247.076		1654.94		629.364		352.943		201.652		1096.39		525.685		434.844	
ABHD6	1249.1	314.195	1911.75	1769.97		1319.24	1192.82	1012.07																
ABI1	15541.2	12897.8	17002.4	16221	23457.6	19051.5	18205.4	17355.8	16432.2	21611.3	17864.8	16154.7	14798.3	11149.1	19398.4	16823.9	16206.5	17981.1	18924	15236.7	19334.3	15756.9	18646.9	12826.3
ABI1;ABI2	1653.47	1589	1420.37	1589.95	1825.05	1580.56	2345.24	1931.24	1280.96	1642.05	1791.46	1352.28	1152.12	1269.18	353.414	430.664	697.154	1195.95	1132.13	1296.03	1013.58	1375.52	1281.38	1221.07
ABI2	4700.17	5362.56	10286.9	6241.5	7425.2	7959.84	9046.98	9524.58	6387.09	8585.09	9993.14	5677.19	19617.2	3742.05	5786.33	5306.01	7018.08	6013.27	6840.65	7283.34	6788.76	8979.33	8735.98	10089.5
ABI3BP	1418.15	1845.78	1794.85	1085.24	1982.97	1483.35	2009.94	857.792	4632.51	1927.2	2804.4	4187.98	416.287	438.151	1003.65	769.695	1307.93	632.504	800.212	787.732		788.557	1415.03	1169.97
ABL1	554.879	875.712	829.131	1468.32	800.325	978.072	613.603	722.731	1116.74	893.449	906.472	819.147	734.536	774.913	663.41		790.241	262.384	1048.79	390.242	486.32	637.548	807.121	869.781
ABLIM1	743.446		1057.07		2326.97	389.071	421.89		2503.69	791.605	1949.53		4180.47	4528.3	2136.94	1877.46	938.363	259.918	2676.5	752.333	5922.42	8351.53	5372.82	8489.1
ABLIM3		369.311		462.103		405.831		794.769	644.557	940.243		1444.51	362.421	277.934							179.442	644.654		414.755
ABR	5550.76	4308.58	4592.01	3734.14	4157.22	5153.91	5469.52	4906.54	5587.03	4257	4874.53	6052.87	2684.18	2727.46	2788.52	2172.5	2438.83	2525.44	3821.61	3349.42	2656.95	3299.95	2938.33	3237.8
ABRACL	37447.3	44581	30556.7	41124.7	37192.3	43125.4	35394.3	35519.7	23640	24396	43810.6	33544.7	17503.1	62222.9	10123.4	27104.1	16321	51993.9	24032.3	39023.8	24832.8	37868.7	20286.2	21107.8
ABRAXAS2	5568.95	4974.54	9966.69	3253.94	3975.35	5826.82	5223.64	5197.2	7408.41	7320.25	6703.18	6673.52	5232.35	6129.31	5258.61	1279.47	5771.15	3239.21	3937.56	7065.68	4879.64	6696.01	7559.97	4268.13
ACAA1	18869.6	19776.7	22710.4	22143.9	16851	18396.1	9345.1	9372.73	19992.2	20320.9	20438.2	19026.7	12302.7	19316.7	13534	22529.3	9741.55	18115.7	18206.3	22833.3	10204.8	17213	15893.3	22453.7
ACAA2	22770.5	20750.4	34948.7	22948	30757.5	21742.9	19463.9	21094.7	30108	26291.3	24016.9	29431.5	17953.3	23674.4	19377	30116.1	23958.7	30540	15572.4	23916.6	16070.8	22563.7	14457.7	17675.1
ACACA	2705.82	2785.62	1839.28	2215.06	1668.9	5012.83	2995.12	2968.92	2400.9	4433.14	4017.65	3308.89	3364.98	2874.31	3044.12	2315.61	2650.3	1452.7	3249.81	2975.98	3762.97	3851.21	3905.64	4809.75
ACAD10	2328.39	761.877	1801.85	1364.3	917.137	2358.8	3652.18	5307.17	368.005	894.152	2829.94	2482.1	1396.07	4856.2	651.127	433.436	958.642	3493.15	921	2054.78	1449	1693.2	388.281	1214.7
ACAD11	3504.17	3461.79	2638.46	2788.27	2416.89	1314.78	4819.38	3511.18	3924.55	2156.09	3233.63	3591.76	5200.38	5252.93	2609.55	1591.77	2242.58	694.982	4177.22	1792.25	2576.4	3419.11	2562.19	3175.81
ACAD8	1112.62	1387.25	3378.01	1439.84	4357.01	2159.13	2496.16	2579.11	3416.91	2973.36	4278.44	2457.97	2936.74	2939.41	1557.7	3492.18	2965.09	4016.55	2581.33	3543.05	2583.43	1390.87	3778.95	3279.49
ACAD9	11259.4	12169.4	11249.4	10802.5	8838.75	11641.2	10695.1	13078.1	10101.6	11098.6	11530.3	13270	6549.88	12217.3	5248.16	8595.78	4232.11	7002.75	5010.09	12638.3	5775.24	10445.5	5382.16	7534.54
ACADM	9838.4	5591.81	8029.6	6004.8	10805.8	9004.02	10647.9	10059.9	7725.15	9007.98	8644.74	7196.14	7347.79	11735	5443.95	8572.79	5377	7395.86	4646.02	6378.36	9081.4	8845.59	7402.6	7718.24
ACADS	2222.45	3439.78	5346.14	4595.89	5856.55	5150.23	3430.61	9612.62	4174.16	6714.4	4415.56	7103.9	5208.96	5826.46	1763.34	3465.71	5380.81	5548.72	2448.14	4788.41	2365.35	3028.04	4036.75	5277.52
ACADSB	3025.21	2690.15	4078.75	2997.09	4531.82	6066.88	4002.96	6467.06	4109.82	4754.35	4908.62	5256.38	3670.96	5023.26	1683.47	3274.39	3308.36	4589.93	3271.45	5845.71	2730.8	3930.8	3311.22	4826.03
ACADVL	40172.7	35104.2	42526.5	45639.8	49360	28133.9	51414.5	46573.2	43621.6	42847.5	42850.8	26326.8	48005.5	52245.7	54685.2	64724.3	59339.2	51529.1	48116.4	55119.8	46387.1	50060.4	38535	49320
ACAN	1834.1	1229.52	3026.83		6451.39	3342.94	6256.31	3398.06	4200.99	1597.19	2894.6	6743.87			75.0415		562.691	1197.66			568.125			
ACAP1	17990.1	9676.12	16229.1	12922.8	15465.4	14876.5	13710.9	17547.9	8841.49	7321.06	9450.78	19480.2	10155.1	3615.6	7251.73	10081.9	9105.5	7207.13	6814.63	7365.87	7588.65	6507.35	9740.62	15073.9
ACAP2	10201.9	11056.2	12500.2	9764.31	7092.15	11068.2	10298.5	10867.8	9026.7	11991	11350.8	12245.7	5845.12	9375.96	4311.92	9423.48	7821.13	8844.71	9315.52	8351.91	5568.54	7374.52	7572.39	8775.65
ACAP2;ACAP3	5057.4	4794.52	5389.51	5701.29	2004.22	4386.29	1389.1	3757.15	3014.74	2195.94	1786.79	5230.17	370.072	3209.55	493.572	1509.21	1953.62	2556.25	2194.16	4487.48	1356.37	925.219	2347.7	1572.7
ACAT1	69234.2	53419	69998	55525	78789.2	81877.1	51925.9	68603.9	72082.3	78052.6	85437.2	88018.5	51285.8	64378	38099.1	65421.4	40299.5	52343	31095.1	56605.5	54697	60958.9	48802	46239.7
ACAT2	19723.5	27099.1	21724.7	18803.1	30233	46397.1	20139.3	28972	20458.1	37202.3	28444.7	33396	32672.6	41093.9	15718.9	29101	15332	21738.6	19093.7	23081	23881.8	31351.1	33843.2	38662.1
ACBD3	13320.3	16313.5	13680.5	9728.53	14461.7	14164.8	11005.8	9934.66	13628	16589.3	11816.3	13538.7	8105.96	7443.83	10844.6	4593.8	14742.6	6876.73	15390.3	11615.5	14103.1	17417.4	15216.7	10522.7
ACBD5	8594.91	7250.18	8873.29	8396.72	9341.32	7030.5	8037.77	9144.5	8374.95	5796.59	5849.47	6339.91	4036.59	3236.35	2900.53	1751.68	4133.54	1539.9	4294.91	4452.84	4774.83	7056.57	5737.49	4858.15
ACBD6	3233.2	2412.79	2892.29	2744.22	3124.43	2041.27	1848.81	3282.33	2486.92	1977.18	2563.71	2281.11	1237.4	518.097	823.888		833.838		1404.09	735.729	1307.87	1436.16	2025.73	1578.24
ACE	2032.13	818.194	1543.89	1091.37	657.248	984.188		229.877	1025.22	1415.13	1731.47	1221.56	2487.48	7425.94	940.895	1687.16	1128.86	1137.46	564.009	1089.1	852.5	2462.53	597.121	3939.31
ACIN1	7406.48	3355.96	7850.71	3203.29	11318.4	9012.19	10501.4	7920.23	6832.34	3140.9	8207.03	6287.1	6143.28	1977.77	1483.37		654.967	816.521	1051.44	854.379	5022.54	6699.29	10047	6335.38
ACKR3	399.628		574.184	129.15	316.08	343.764	244.888		225.72	320.596	1050.93	82.7234												
ACKR4											114.046		1344.86	670.397	261.398				416.817		517.237	301.627	247.874	
ACLY	104809	95572.8	130311	63977.6	54384.8	108884	64867.4	66836.6	129124	133921	98440	97599.3	83192	77089.7	103015	102600	76373.8	82632	120827	135910	79882.7	105772	108827	98949.5
ACO1	33912.7	37518.7	32562.8	41209	29048	54501.9	27862.1	47765.4	31394.9	44964.3	48841	45817.2	25960	37196.2	26367.9	21458.3	15063.4	17831.7	27154	26541.8	27045	34713.1	23813.4	38119.5
ACO2	31637.6	33386.8	37391.2	37615.6	29182.9	32391.8	29551.8	42590.1	33796.5	36714.4	26752.8	39093.4	18583.5	36815.1	16784	39473.4	32060.9	45651.3	17075.4	37908.5	22038.8	37476.5	21496.3	24813.2
ACOT1	11108.2	18092.1	21023.3	27402.7	14559.3	21655.7	7108.68	14619.2	22110.9	57350.7	16904.4	29785.3	10314.5	23254	6273.97	24965.4	7671.78	23430.2	4378.81	15633.8	7719.31	14955	8886.75	18612.5
ACOT13	16515.1	7142.13	9960.27	17043	8921.24	5634.74	12344.2	10958.7	12099.7	16859.1	10781.2	11698.6	8550.52	9630.28	7644.59	16165.1	7164.75	10972.2	6381.67	9149.39	7248.19	5462.41	3862.36	5598.82
ACOT2		2279.46	1805.02	3951.55		865.907	774.932	1265.12	1119.99	1377.22		1531.08	196.075	2436.82		1362.93	582.229	2166.69		1776.52		1400.47	559.111	1159.71
ACOT7	9695.26	10546.2	12819	12370.8	14473	11268	13370.1	12446.6	18869.6	18291	17001.7	16520	12652.8	15793	21477.9	33495	23084.4	35201.2	29291.1	34448.3	19024.1	23009.8	14441.2	15660.5
ACOT8	8767.54	6676.97	13773.5	9468.3	5485.34	6860.8	8338.58	7433.54	14676.7	13256	15133	9715.53	6281.34	6100.5	5737.73	10890.2	5832.95	11510.2	9691.52	13628.6	6579.14	9055.71	8962.23	7231.55
ACOT9	22737.8	25298.5	27239.7	30629.3	15873.1	18440.8	21208.5	27295.5	19897.9	24382	24735.4	29835.3	17063.9	24650.5	10734.7	24562.3	17640.7	30841.3	18241.8	27637.2	14929.2	20855.5	15266.1	20765.9
ACOX1	2096.64	2924.73	2449.28	2724.47	2219.43	2148.23	2505.73	1821.96	2679.64	2009.19	1749.66	2381.17	2455.43	1511.38	2667.65	1459.14	2142.87	1951.27	5269.5	3938.01	2372.95	2879.44	4035.9	2965.58
ACOX2	3081.68	3529.1	7930.32	3282.91	2257.36	2088.1	2868.41	3363.5	3935.48	4049.37	5409.89	4256.24	2445.34	4765.09	2739.28	2822.93	2420.11	2994.98	3009.72	3312	3698.9	4329.38	4285.98	5410.19
ACOX3	9959.92	8709.09	15498.1	11411.1	4645.98	7802.27	7732.32	8244.2	8149.8	8194.71	10222.8	8843.78	5986.09	9177.49	5902.56	10070.8	7858.06	11234	8975.54	13187.7	4394.2	7428.05	7678.71	10797.2
ACP1	16938.3	14955.6	16370.9	14535.8	13542.7	18079.1	12073.9	10348.5	26030.1	22813.3	25069.5	14782.6	16846.4	25587.3	16002.9	20166	25787.8	23003.9	22986.9	23708.3	15899.7	16482.2	26014.2	19325.7
ACP2	18909.6	19314	22317.3	23527.1	18552.7	14004.3	19189.1	15749.9	21279.6	26767.3	26225.4	24017.1	26529.3	37668.6	33506.8	45944.4	31842.3	50771.4	18169.3	56760.4	15830.5	24125.9	28602.9	34732.7
ACP6		982.568	163.124	524.834			371.649			721.024		514.433	506.918	905.675	1228.17	412.72	821.791	1297.54		873.177	962.714	1071.46	603.841	459.527
ACSF2	6990.95	7640.23	9099.52	8826.33	2934.49	6038.87	2146.9	3676.61	6103.72	7467.09	5770.99	7962.82	2482.53	5199.04	3098.43	6552.08	4910.94	8052.25	2262.65	4606.72	1559.13	5068.48	3527.72	4014.28
ACSF3	1195.97	1050.97	2212.64	1672.35	1708.99	1675.58	1263.12	2254.87	1629.67	1885.54	2065.73	2280.82	1092.45	1895.24	1063.48	1476.67	1138.54	3448.72	954.422	2453.36	919.483	1497.77	804.673	971.514
ACSL1	13786.6	24541.5	13034.9	34797.3	11323.6	26587.8	10306	19323.1	12324.6	33797	13649.2	31924.9	9433.67	17172.1	10627	14219.2	11517.4	18264.8	11403.4	14294.1	9443.14	9439.01	11474.3	16306.4
ACSL3	26364.9	28464	25149.8	18364.8	15037.7	27769	24025.1	17538	20041.1	35231.4	27949.6	25469.9	21920.7	27228.1	26092.5	24772.6	23743.7	24047.7	25978.2	25419.7	23894	36980.6	25018.4	24207.8
ACSL4	8931.29	10866.6	9198.53	8459.16	12224	17056	17014	13179.1	9867.38	11898.8	15316.1	10888.9	10472.9	9877.18	9967	7927.05	8660.37	8308.22	11974.9	11502.8	12761.5	13978.2	11107.3	10300.8
ACSS1			123.097	221.511	214.206	225.388		375.367	141.781				165.953	691.997				155.684		317.657		179.01		648.226
ACSS2	9561.78	12599.8	7771.91	11170.5	6577.78	18246.5	9290.45	13606.3	6904.92	17728.9	13272.3	20507.5	6797.96	17876.2	7535.54	16185.8	5854.55	13617.6	11938.1	15815.1	5851.36	17857.7	11493.1	18475.3
ACSS3	5083.88	5420.82	7063.52	7358.08	3482.07	5356.27	5512.56	5673.62	5067.29	6590.97	7435.34	6463.61	3863.72	10328.7	3486.9	6462.98	4623.1	7755.72	1214.29	7290.71	3273.73	3676.22	3507.99	6961.33
ACTA2	808.161	1318.3	9077.83	312.24	150.389	181.619	13.6487	64.2758	2834.16	2847.86	181.912	482.037	239.094	569.937	604.522	209.878	1343.29	55.0722	415.436	226.258	76.5634	1278.79	107.915	3977.96
ACTA2;ACTB;ACTC1;ACTG1;ACTG2	523380	327591	597262	280201	634457	534086	329842	353857	527709	358958	801194	538394	474377	234308	359054	668528	332788	373051	445118	499265	542790	306343	383467	518310
ACTA2;ACTC1	55868.6	125951	103114	143535	3824.95	5801.29	1943.99	3065.14	70008.2	113484	19275.1	36187.7	33728.3	85593.5	21593.6	93528.5	49627.3	63620.8	27311.9	53118.4	10081.6	33465.8	33249.6	76596.5
ACTA2;ACTC1;ACTG2	267440	258744	551703	194968	114034	88964	32339.2	44178.1	535911	570251	311744	268404	408560	342325	278825	568683	375216	278289	265764	309134	207810	248782	372230	560678
ACTA2;ACTG2	247832	281525	303896	366545	32451.8	47376.3	14285.5	23652.8	224164	258126	111872	151011	106318	350389	43140.2	196866	86617.4	197723	89458	220854	25570	152118	163910	272457
ACTB	900404	1.5345e+06	2.03781e+06	1.54524e+06	2.8049e+06	1.36664e+06	1.7076e+06	1.14658e+06	2.51001e+06	1.85783e+06	2.00167e+06	2.1424e+06	1.24377e+06	985264	1.37017e+06	1.97383e+06	1.37573e+06	1.65841e+06	1.61541e+06	1.57584e+06	1.30305e+06	1.11449e+06	347862	851759
ACTB;ACTG1	556176	417426	757594	344344	890572	610085	434791	500692	941147	684706	828571	743799	827511	419333	923600	852865	839211	581126	683941	523839	924001	538475	760330	751140
ACTBL2	1.13714e+06	887271	1.34451e+06	768706	1.2454e+06	1.11636e+06	810435	833496	1.32296e+06	1.15847e+06	1.36617e+06	1.26582e+06	1.11941e+06	836953	788269	1.09702e+06	735043	895927	942381	974827	979199	822045	996855	1.18126e+06
ACTBL2;POTEF;POTEKP	28492.3	19024	62065.4	29730.8	128598	52315.5	49582.7	45608.1	84030.9	131750	72857.8	53821.2	120643	45036.2	165563	172334	147625	133371	71414.6	70353.1	186408	59112.8	73462.1	91749.8
ACTC1	43627.1	161333	162911	148439	256794	185625	162688	184006	211542	210041	165706	46531.3	206439	133767	135889	243262	187106	213034	222320	143520	185262	123309	218693	223038
ACTG1	664949	533017	898844	505800	700820	716574	619233	664691	1.23969e+06	651877	658331	881915	315687	274577	295117	294281	326237	485858	688770	406098	528821	452942	127588	317758
ACTL6A	16674.8	10960.6	15516.8	10013.7	21129.7	22781.6	18118.4	17054.8	18693.1	12444.6	15082.8	13976.4	12723.1	11927.3	6016.4	6499.72	5173.23	9688.25	8256.93	6361.26	15771.9	12953.8	17964.6	14486
ACTN1	444181	399764	514599	384952	219205	339187	216365	250800	479254	465092	364422	421285	193336	378072	190701	466204	227592	501587	298243	465248	180243	294604	327681	375974
ACTN1;ACTN2	41607.5	45297.7	45008	43681.9	26647.1	20607.6	20397.3	19028.4	50725.6	53839.1	35813.5	31912.3	24834.1	41709.2	25675.5	44197	26876.9	45782.1	23653.9	33928.5	24721.9	23047.6	20289.2	35358.8
ACTN4	861863	780997	990903	724088	719412	824747	826646	866814	900290	846914	716716	936269	425509	716912	346869	862506	377487	836911	445699	771436	390873	508843	624171	653808
