Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
CLCN5	938.073	1010.39	988.274	1079.8	682.943	725.814	105.086	584.907	351.664	710.972	1013.14	1176.24	349.913	1014.09	516.909	467.055		574.763	796.058	434.268	555.975	651.102	950.071	1044.12
CLCN7	5904.26	3875.38	7461.09	2931.78	2262.34	4871.52	4342.02	4220.6	6560.17	5037.12	8421.11	6208.15	4714.56	4743.53	3725.78	3190.04	2832.88	4589.12	3627.27	4435.55	3465.76	2773.04	4266.57	4259.03
CLDN11				433.848	577.47	309.939			131.456		853.581	51.9693	2814.6	3233.13	1217.72	130.852	194.575	430.094	1254.45	471.168	997.967	547.729	1483.51	502.915
CLDND1	1500.17	5003.53	813.106	3067.95		1816.6	1254.31	2077.38	1299.77	3947.39	2213.55	2031.34	644.484	4980.78	426.876			1546.33		1186.17	1334.39	1872.11	1220.36	1569.68
CLEC11A	3014.6	4542.41	1305.33	3998.56	4097.1	2446.11	3539.91	4517.87	2673.56	1555.54	2228.98	1805.17	2618.52	1310.2	1950.44	8267.21	4393.53	4165.28	2951.8	3472.51	1749.7	3666.1	2584.22	3065.78
CLEC16A	201.001	392.555	628.027	671.047	310.76	425.464	1129.38	528.322	218.265	352.573	375.502	499.271	611.686		797.742	805.804	300.678	567.847	431.367	35.9155	510.852	371.477	503.634	137.442
CLEC3B	304.598	751.54	1001.52	445.58	12898.1	824.287	2415.79	435.092	1633.84	1912.06	574.224	1312.69	346.302		12220.7	20986.8	13296.2	8645.59	7158.45	4031.31	415.212	838.637	430.25	690.005
CLGN	361.858		516.493		2101.03	1356.49			1363.32	684.072	5057.6		573.17								157.368			
CLIC1	139854	108900	164130	91817.1	239700	156462	157975	104954	220400	177539	205802	149230	206380	126331	197657	180877	195667	129686	162251	112776	229824	138031	174263	136034
CLIC3					1197.63	1074.02	947.164	1028.17			818.002	861.965	566.39	932.227	848.17	1685.83	1352.25	1607.56	2105.24	1188.22	279.213	1279.66	1352.01	1559.62
