"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"CKB",16.181,16.78818,16.69023,16.58215,15.94535,15.99942,16.3014,16.63054,16.5832,16.71421,16.44004,17.13528,14.08629,15.03967,15.09249,15.70992,15.21904,15.90289,13.63984,14.50917,13.80766,14.73978
"CKM",10.33364,10.16024,11.68691,10.3647331026364,11.95222,11.05582,12.69789,9.99399,12.67889,12.44752,12.23745,11.90176,9.71305,8.82036,10.62519,10.19181,11.05915,10.02737,9.23847,9.88397,10.01762,11.31809
"CLASP1",12.47826,12.73986,12.58878,12.853,12.55627,13.0286,12.57635,12.99772,12.33569,12.90433,12.51703,12.97462,12.32781,10.97111,12.15144,11.19042,12.4512,11.88858,11.91607,12.54917,12.48614,12.90917
"CLASP2",11.24867,11.6627,11.66892,11.27553,11.57841,11.60123,10.92317,11.37664,12.03114,11.93857,11.57619,11.85362,11.2436,9.867,11.20897,10.9695,11.94826,12.00531,10.90354,11.73107,11.56244,11.96124
"CLCC1",12.08661,11.81852,12.36519,12.16626,11.63715,12.08747,12.07833,12.41476,12.385,12.18113,11.8522,12.56152,12.04552,12.20092,12.03796,12.26588,12.46646,12.12368,12.18369,12.39058,12.32305,12.22746
"CLCN3",10.49832,9.42369,10.85319,10.20616,10.86215,10.42665,10.47378,10.29715,9.99615,9.77936,10.92567,10.81149,11.61226,9.85305,9.98391,10.24904,10.52893,9.73434,10.14579,10.21613,11.46615,10.14872
"CLCN7",13.16124,12.03568,13.06786,12.19859,12.15865,12.67257,12.64191,12.73048,12.93146,12.82759,13.44981,12.98283,13.00643,12.81469,12.18654,12.49552,12.47829,12.41405,12.92519,11.65154,12.61892,12.22988
"CLIC1",16.87837,16.71943,17.38314,16.60271,17.8093,17.21726,17.13541,16.80676,17.76582,17.49838,17.5151,17.05818,17.72534,16.92784,17.58271,16.99705,17.28443,16.88627,17.87606,17.11602,17.31936,17.03553
"CLIC4",15.80211,15.5361,15.88198,15.32326,16.36021,15.90542,15.97837,15.80542,16.5033,16.17868,16.48926,16.32138,16.84746,16.7948,16.69128,16.59394,16.71301,16.89964,17.17213,16.85791,16.77567,16.89866
"CLINT1",12.56143,12.71099,12.66952,12.75378,12.63719,12.85177,12.59302,12.69134,12.63267,12.69366,12.64127,12.86826,12.1363,11.64243,12.45258,11.40443,12.43502,12.1539,12.01548,12.59144,12.64819,12.81327
"CLIP1",13.30218,13.25863,13.46606,13.12502,13.58939,13.04509,13.50901,13.07481,13.22858,13.0075,13.257,13.22039,12.31099,11.62979,13.12161,12.08515,13.37224,12.7557,12.79297,13.20632,13.24164,12.6265
"CLIP2",12.7677,12.31238,12.73675,12.12611,12.82612,12.72828,12.70748,12.68361,12.36102,12.02989,12.70572,12.70405,12.09418,11.07127,11.74438,10.56125,12.11394,11.23496,11.94428,12.47461,12.50462,12.00089
"CLN5",11.10663,9.68796,11.64535,11.06408,9.18748,10.625,11.26231,11.58402,10.52331,10.30602,10.55228,10.62427,10.53724,10.47256,11.30268,11.4664,11.47125,11.84134,11.2465,11.49395,11.33557,11.19219
"CLN6",11.10753,10.17545,11.24138,11.38202,10.04531,10.8103,11.189,11.3056,11.47163,11.54609,11.34871,11.04107,11.0329,11.82136,9.20375,9.8,10.77909,10.42381,10.69473,11.29677,11.09863,11.13955
"CLN8",8.72316,10.07174,9.23588,9.48529,9.15840136701633,9.6061,9.15515,9.78032,9.1524,9.73987,10.32024,10.34255,9.79811,9.70337,8.72774,9.81327,10.43024,10.60647,9.08808,8.75944,10.00983,9.12116
