"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"NAPRT",12.66605,12.32014,12.35106,11.91252,10.57448,10.61259,11.03628,11.93734,11.79494,11.3339,10.95546,11.8261,12.02155,11.5682,10.73857,10.6077,10.38462,10.285,10.9683,12.08944,10.05134,11.6266
"NARS1",17.1506,17.15636,17.49699,17.14968,16.97024,17.15777,16.93341,16.91027,17.58563,17.70369,17.33265,17.15278,17.10708,17.61306,17.66841,18.04324,17.66105,17.91063,17.55885,17.61793,17.58823,17.35857
"NARS2",11.13529,11.15078,11.24476,11.16586,10.21837,10.83412,10.94797,11.49343,10.46307,10.92904,11.25202,10.3627,10.85417,11.64115,10.71071,11.86069,11.15257,11.32727,10.87493,10.70093,10.32439,11.03858
"NAT1",12.18099,12.63848,11.68342,12.85322,11.96938,12.27028,12.34328,12.0988,12.11635,12.44268,12.55988,12.34792,12.00664,12.42585,11.97725,12.93661,12.39648,12.39272,11.92896,12.12561,11.94124,11.88752
"NAT14",9.91244,9.69829,10.22703,9.65679,9.35522,9.81627,9.71555,10.67633,10.44115,9.85857,9.66912,10.37245,8.66256,10.27552,10.12749,11.50526,11.49239,10.25826,8.20941,9.86044,10.68478,10.60526
"NAV1",11.10805,11.03224,11.3581,10.70021,11.13215,10.37706,11.28214,10.58203,11.69892,10.76335,11.0689,11.01553,10.99289,10.38417,11.34758,11.26701,11.74022,11.10245,11.57226,11.55801,11.9141,12.26934
"NAXD",11.89931,11.38046,11.74332,11.37709,11.04445,11.81672,11.25779,11.47612,11.86663,11.66935,11.55959,11.86117,10.76344,11.745,11.58484,12.72936,11.1919,12.06304,10.56786,11.22057,11.13818,11.56953
"NAXE",13.52748,13.36227,13.53536,13.49073,13.37503,12.72727,12.69159,12.56748,13.53649,13.97678,13.24372,13.29009,13.64224,13.65855,13.59167,14.14037,12.69208,14.03005,13.17332,13.15189,13.39856,13.9721
"NBAS",12.83066,13.07217,12.9772,12.96215,11.56288,12.6851,12.2606,12.29478,12.899,13.0334,13.22844,12.75367,12.46049,12.89666,12.21623,12.7941,12.91858,12.8592,12.13445,12.85663,12.48937,12.82773
"NBEAL1",10.12593,11.23564,9.1987,10.90617,8.98288667417162,9.83942,9.76517,9.59989,9.60419,10.37762,8.88957,9.52015,9.10867,10.65853,8.80324,9.51912978615675,10.86881,9.65368,9.74152,10.281,10.42763,10.0052
"NBN",10.6646,10.18247,10.42017,8.39112,10.78787,9.96888,11.46942,10.80719,10.46946,10.58206,9.05149,10.86152,9.96509,10.33877,8.48443188270667,9.41769261304007,7.82805,8.53330453461777,10.69559,8.85779,9.53229,8.13533
"NCAPD2",10.31902,10.21728,9.93042,8.41929,11.46389,11.24329,11.22592,11.34265,10.03465,10.44849,10.69545,10.81427,10.04375,9.83248205422979,8.95209,8.91878478728498,10.20795,9.12161,10.70804,10.29085,11.10244,10.48289
"NCAPG",9.91957,10.58713,10.23686,8.29084,11.05232,11.08951,10.96826,9.76682,10.1216,9.99441,10.90265,10.7496,9.64404,9.29908,8.62001,8.63008306270202,9.64782,8.85045267890912,9.54693,9.83479,10.07719,9.91647
"NCAPH",8.6652,9.85646,8.43605,9.53172,10.42748,10.69458,10.20626,10.48272,9.50846,8.85052,9.55123,9.09016,9.15372,8.85516,8.31661161500488,8.84911651515635,8.81387,9.16351,9.3139,8.66293,9.66493,8.67271
"NCBP1",13.79702,13.87831,13.37165,13.8275,13.05378,14.0662,13.84241,13.49647,12.92207,13.6058,13.86602,13.13276,12.85105,14.56094,12.02295,13.33612,12.76711,13.43965,12.8383,13.92583,13.68828,13.4602
"NCDN",12.28884,12.16508,12.38946,12.70679,12.36978,11.70235,12.3138,11.75007,12.71594,12.49368,12.23629,12.33466,12.45936,12.60535,12.35213,12.99945,13.28489,12.88617,12.09808,12.72285,12.41715,12.16112
"NCEH1",14.06951,13.77261,13.95591,13.39037,14.70134,14.44172,14.39202,14.30702,14.56667,13.87935,15.28105,14.13689,14.49975,14.57032,14.73829,15.11012,15.41062,15.11515,15.4479,14.58263,15.17011,14.306
"NCK1",11.6118,12.24795,11.70418,11.72385,12.1932,11.95615,11.52689,11.99184,11.95881,12.32973,12.03319,11.37882,11.34573,11.69873,11.70976,11.31327,11.26883,11.77702,11.79496,12.0616,12.08556,12.1167
"NCK2",11.74308,12.17953,12.35489,11.57348,12.77268,13.01093,12.64055,13.06524,12.61262,13.11437,12.58255,12.67322,12.298,13.12314,12.60014,12.40054,12.64464,12.97803,12.82587,12.47307,12.44528,13.29501
"NCKAP1",13.69213,13.75055,13.51304,13.74912,12.71661,13.66084,13.91979,13.81972,13.52343,13.94479,13.8829,13.55072,13.47457,13.44932,13.39646,13.48519,13.50424,13.93123,13.21386,13.70362,13.55125,13.75367
"NCKIPSD",11.62043,11.91361,11.74459,11.99763,11.05177,12.17854,11.72853,12.08602,11.01168,12.00657,11.26731,11.93209,10.95124,12.1868,11.18448,12.16432,11.61648,12.67601,10.75546,12.21978,10.68068,12.04133
"NCL",16.36623,15.88234,16.57825,15.36258,17.19813,16.54349,16.88595,16.60902,16.82294,15.9998,16.43757,16.28021,16.73292,14.08224,16.12782,12.24303,16.41916,13.20378,17.08311,16.96282,17.16247,16.69725
"NCLN",14.68759,14.99604,14.72292,14.74059,14.04311,14.59465,14.74273,14.32856,14.9351,14.90402,14.76879,14.93423,14.41029,14.85732,14.47326,15.19338,15.24323,15.21829,14.08443,14.8123,14.68301,14.67533
"NCOA7",11.88473,11.88291,11.7643,11.98827,11.06362,12.0767,11.0052,11.90038,11.35371,11.64422,10.88882,11.55462,11.23061,12.26583,11.27408,10.6891,12.38056,11.75717,11.66642,12.11149,12.1964,11.30611
"NCSTN",15.30445,15.20495,15.44516,15.06998,16.19773,15.21626,14.99491,15.02661,15.9009,15.8702,15.90774,15.5376,16.18371,15.41306,15.74264,15.0855,15.2079,14.98296,16.10735,14.5116,15.7029,15.21773
"NDC80",10.02804,9.55923,9.61265503336253,8.84814,10.18989,10.0263,10.54831,10.51121,9.82054,7.88211,8.88439,10.00797,8.8385,9.13728,8.35905906172931,8.30764330242903,9.65217,8.37615,7.48918,8.67163,9.98486,8.6832
"NDE1",9.68119,9.94293,8.9325,8.04955,10.22126,9.95035,9.7731,9.71535,9.30502,8.99689,10.12632,10.15943,8.53699,7.80565,8.82986,8.02498802048854,9.20649,8.45787643891301,9.47864,10.19633,9.47661,9.19747
"NDRG1",15.35069,14.77802,15.54407,14.83637,15.69324,15.09058,15.68909,15.6529,16.00434,15.43316,15.84626,15.33292,15.38431,15.70195,15.11849,15.78974,15.29085,16.27557,15.17767,15.66855,16.18238,16.31393
"NDRG3",14.5331,14.30298,14.91402,13.99807,14.80157,14.67565,14.57924,14.54956,14.89427,14.43698,14.70228,14.54194,14.4599,13.62753,14.66912,13.50261,14.84846,13.80494,14.47663,14.62386,14.68503,14.17203
"NDUFA10",12.81359,12.83043,12.84365,13.82529,12.67334,12.80902,12.40739,12.62355,13.23807,13.56673,13.53987,13.16,13.65496,13.69168,12.3954,12.16274,12.31053,13.0687,12.94908,13.27652,13.18706,13.42671
"NDUFA13",16.74441,16.6241,16.37035,16.76042,16.42061,16.51495,16.50773,16.7366,16.67665,16.69784,16.77729,16.88458,16.09595,16.96988,14.90394,15.39323,15.37094,15.86521,15.78366,16.62045,15.96782,16.15262
"NDUFA2",12.83023,12.97353,13.6413,12.76033,13.1309,12.87954,13.13065,13.0142,12.97976,13.33079,13.80594,13.75448,12.03411,12.35897,11.6023,11.51226,11.7322,11.83753,12.33598,13.38349,12.59629,12.93931
"NDUFA5",13.36489,13.87983,14.31856,14.2241,14.18187,13.78379,14.07848,13.87155,14.25235,14.06677,13.97432,14.13306,13.48958,14.27138,12.8552,13.68809,12.9399,13.1677,13.51774,13.90475,13.88176,13.51059
"NDUFA7",11.67184,10.62124,11.20275,10.23854,11.09178,11.30679,11.81306,11.36946,12.11631,11.53851,11.74019,11.44315,11.09501,12.43661,10.41594,10.40212,10.17415,11.24693,11.4525,12.22858,11.72306,11.2144
"NDUFA8",15.30056,15.05462,15.33886,15.21391,15.09752,15.1068,14.90107,15.45772,15.38531,15.22664,15.37456,15.6146,14.2278,15.74009,13.79147,14.17787,13.89817,14.50569,14.59441,15.48642,14.95915,15.06499
"NDUFA9",14.31562,14.4601,14.5844,14.76445,14.04489,14.55031,14.3317,14.50732,14.86314,14.98335,14.95401,14.83551,14.60824,14.97314,13.37388,12.98312,13.09333,13.64899,14.19193,14.65034,14.38635,14.6248
"NDUFAF2",11.409,9.76189,12.05501,9.53683,11.74611,11.94726,10.97322,11.14549,12.51945,11.26013,11.69551,11.71437,10.99176,12.23212,11.48889,12.47725,11.53811,11.74196,11.82492,12.52215,11.54122,11.76259
"NDUFAF7",10.94752,10.81259,9.84153,11.37863,9.72193,10.6812,10.15464,10.12633,10.53244,10.91033,10.59349,10.08208,9.78853,11.01592,10.30362,10.91754,9.17041,10.97091,9.52501,10.24207,9.03117,9.84424
"NDUFC2",12.08299,11.97174,12.14274,11.96156,11.26411,11.59681,11.62342,12.37758,11.74879,11.51838,11.50518,12.77487,10.5565,12.15199,10.41798,10.71534,10.13017,10.9965,11.32307,11.78203,11.36288,11.78068
"NDUFS1",14.15501,14.02024,14.44098,13.90052,14.29747,14.23163,14.00384,14.25451,14.63775,14.9165,14.66218,14.63097,14.53195,14.77163,13.58445,12.91715,13.0946,13.62027,14.51045,14.50199,14.25661,14.47445
"NDUFS2",14.55363,14.49246,14.65236,14.65227,14.14387,14.1315,14.42569,14.49367,14.73544,14.99236,14.829,14.77145,14.27463,14.95689,13.58819,13.8178,13.53065,13.82207,14.19798,14.66351,14.47243,14.40905
"NDUFS3",14.04098,14.0076,14.05707,14.08957,14.05794,13.92506,13.91655,14.14058,14.11825,14.31887,14.31566,14.1506,13.68532,14.42566,12.90673,13.20846,12.94986,13.26882,13.84165,13.99729,13.45852,13.86048
"NDUFS4",10.93789,11.30068,11.2602,11.04184,10.87384,10.74557,10.63873,11.09256,11.14913,11.64789,10.90934,11.77475,11.07445,11.9938,10.55566,10.25623,8.74723,10.55567,11.25551,11.39438,11.39934,11.66726
"NDUFS5",13.18998,13.27174,13.5849,13.68814,12.91709,13.47468,13.12286,13.96895,13.74108,13.53758,13.75412,14.12513,12.96609,13.90613,11.53303,11.56188,12.58426,12.34576,13.14637,13.73637,12.93504,13.2817
"NDUFS6",12.47481,12.51746,12.62572,12.85656,12.17121,12.48431,11.94235,11.95824,12.68638,13.02495,12.57521,12.57312,12.29405,13.0564,10.97548,10.99071,10.60255,11.34257,12.45321,12.85921,12.35969,12.05985
"NDUFS8",14.22491,14.24286,15.31337,13.6997,15.10257,14.92355,14.27795,14.55082,16.01241,16.04724,15.49125,15.11859,15.54573,15.2681,14.79415,14.63627,14.39852,14.32513,15.75422,15.57645,15.04266,15.41958
"NDUFV1",13.54251,13.42195,13.98885,13.46965,13.80774,13.59759,13.32358,13.97501,14.26715,14.07449,13.93999,14.08477,13.57939,13.75781,12.72007,12.40393,12.43252,12.65839,13.55239,13.74379,13.325,13.67834
"NDUFV2",12.78452,12.98805,12.91942,12.48323,13.05922,12.82883,12.49637,12.96969,13.35311,13.70147,13.27301,13.33574,12.74192,13.32198,11.56174,12.01615,11.91912,12.33151,13.15664,12.84715,12.61153,12.79511
"NECAP2",12.79227,12.652,13.34549,11.77345,12.52981,12.89131,12.39897,12.79157,12.95775,12.9594,12.89602,13.1911,12.78551,12.13587,12.49398,13.0976,12.99689,13.57461,12.27162,12.70425,12.43738,13.50287
