"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"GALT",5576.6,6163.07,7849.68,8633.77,5193.63,5189,5463.92,5042.79,5590.26,6125.72,5663.38,6207.29,4823.03,7292.71,2803.79,4210.54,3151.28,2796.21,4212.99,7577.22,4244.66,7929.21
"GAMT",8827.89,8275.02,11169.2,6988,9274.27,8694.15,8924.14,5984.87,10990.4,7895.83,11016.1,10856.8,10500.9,8569.1,9283.64,7746.23,8893.38,10436.9,10377.7,13013.6,12272.2,12810.3
"GANAB",155310,158028,131444,130857,117198,141361,140659,129875,137677,152380,156419,154053,111259,159757,116552,142636,159082,146296,99498.3,155472,132070,161009
"GAPDH",684118,467712,786716,419659,947896,681682,668844,557127,789935,571107,1032090,668674,890514,656246,1115930,1095580,1438910,1169010,1072390,995156,947645,962159
"GAPVD1",7731.33,7750.98,7139.56,6777.69,4859,5040.96,7640.68,6079.09,8739.54,6775.09,7738.07,6507.36,3269.44,4355.36,3782.23,5254.78,4987.08,6176.36,3874.03,4903.93,5138.76,5006.1
"GARS1",155489,148452,159457,117588,110790,99650.6,102271,68790.2,195618,168373,137580,129935,100839,103205,166968,201725,152869,192614,132298,122276,161941,91007.3
"GART",21760.2,19842.5,18783.8,16809,18830.7,25118.9,25712,20875,19778.6,18277.7,16532.7,14425.7,17717.5,20540.1,12866.4,19883,20030.8,24991.5,16750.9,20601.3,21357.6,19736.4
"GAS6",2256.29,17028.8,3037.94,19153.4,3652.5,3789.15,1138.43,2045.72,2696.23,29884.2,3559.65,9240.2,2760.17,1389.81,10728.3,1431.06,4808.72,3782.73,2582.61,12777.8,2050.05,6506.35
"GATA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.338,NA,146.781,NA,118.166,NA,459.133,1723.18,631.918,376.869
"GATAD2A",865.898,357.087,1039.97,571.534,1438.96,1186.44,1995.31,959.717,906.727,673.706,1754.8,719.688,1308.54,298.47,NA,NA,NA,NA,1515.34,870.037,1989.59,1162.62
"GATAD2B",10331.1,11735.5,13735.4,9735.75,16654,14279.1,21065.5,14607.1,8656.68,5131.42,15598.4,9891.06,6770.92,9285.87,NA,NA,201.89,NA,6328.9,12157.7,10217.9,10989.6
"GATB",460.449,316.815,NA,309.631,93.5908,428.269,677.222,707.545,478.422,361.894,894.972,208.755,NA,176.747,NA,514.42,101.017,330.259,202.523,238.274,NA,231.622
"GATC",829.054,1015.36,1064.58,937.568,1236.76,939.906,784.525,711.098,1033.95,947.69,1104.56,973.481,536.76,1003.93,832.419,1761.52,1115.27,1075.52,1492.35,959.262,825.349,883.821
"GATD1",2848.45,5367.44,5301,3931.47,6623.21,4537.62,3699.17,4848.64,5294.47,5859.73,5343.3,4793.34,3670.95,2918.51,5220.1,4937.18,4291.16,5260.3,3365.22,3773.86,5693.89,6667.67
"NA.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBA",69449.2,60127.9,91698.3,66331.7,71137.9,62597.1,55107.8,66026.6,74695.4,84301.7,108746,75535.4,128215,143272,86716,161806,86797.6,156222,94629.3,104599,116636,140898
"GBE1",52981.1,80532.3,62194.8,103019,29115.8,70123.5,53838.4,87967.7,56628.5,100681,53563.7,104354,52733.6,110133,65412.4,115685,75486.9,148296,42548,100687,67066.4,99146
"GBF1",13273,17868.4,13705.6,16005.1,10873,16125.3,12479,12376.8,14424,14825.4,17360.5,15003.2,10573.5,11282.7,14857.4,9737.1,17632.1,11272.8,11857.3,15190.9,12409.1,15491
"GBP1",12218.3,10530.8,12747.8,11521.4,7488.13,11357.4,3788.36,3927.85,9608.74,10654.3,7160.88,9053.11,5277.53,10667.6,15350.5,14987.2,9803.65,11572.3,4103.82,8841.05,7399.03,12815.1
"NA.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBP2",1885.59,1590.27,3051.47,1759.83,3406.63,2361.15,2374.26,2819.51,2479.44,2140.15,2542.98,2632.55,2618.86,1624.14,2578.59,2418.55,734.245,1571.53,1980.58,2381.33,1745.95,2565.64
"GC",11257,4243.93,15261,8405.14,278370,6194.52,65673.4,2653.8,34977.2,3797.78,6908.48,23236.3,8992.28,3602.41,372708,269104,235134,125760,7090.16,4314.48,5867.48,2255.88
"GCAT",1146.36,2055.72,584.267,738.019,1083.7,1906.77,1587.18,2972.95,1052.31,1531.81,1335.57,1946.34,812.463,2307.6,962.924,1174.49,1125.2,1286.7,278.961,752.68,934.695,1457.3
"GCC1",2478.9,2179.6,1314.3,3115.6,1861.88,1995.03,2418.24,1206.94,2021.19,1109.84,1634.42,1534.83,256.513,1540.25,752.359,NA,1238.89,1697.67,1131.5,1324.42,2109.42,1424.68
"GCC2",12834.2,13610.1,14040,9567.31,14679,13544.6,13206.6,11712.9,12933.9,11663.2,9949.92,11235.2,4535.76,6946.77,10330.9,4551.45,13951.8,5259.56,5548.39,11047.8,9112.08,8916
"GCDH",9693.94,7685.92,8240.61,7013.59,8163.55,11090.5,8951.66,9658.34,7881.76,7460.14,10387.6,10446,7174.95,10805.8,4362.92,10754.5,5392.69,9726.04,5265.85,6314.4,5700.54,8652.52
"GCFC2",430.758,747.309,605.945,972.435,646.992,690.681,546.743,734.393,530.791,705.607,424.421,456.855,907.934,NA,474.114,NA,494.34,NA,727.386,464.934,692.92,675.133
"GCHFR",NA,1456.26,NA,2191.24,291.421,2368.43,125.546,2182.01,NA,1531.29,115.186,3302.66,286.424,2109.77,137.938,3443.23,NA,1915.68,1061.01,1441.15,656.644,3838.11
"GCLC",6375.37,15820.9,5860.29,8738.25,4224.69,12306.5,6478.93,9641.67,3886.32,8396.28,2622.25,11565.7,2677.7,7826.28,4006.8,11617.5,5395.21,10275.6,2665.4,5999.63,4576.45,4224.89
"GCLM",16425.5,13621.4,20879.3,7770.75,25159,17818.4,27384.4,21665.8,21478.2,17173.7,23716.5,12637.3,24926.1,28315,27902.5,38543,26066.8,34488.1,23330.6,32898.8,31896.1,24469.7
"GCN1",32987.6,37972.4,34346.7,40383.7,20360.3,30338.4,32533.6,29708.2,36001.6,38618.6,35830.5,31198.1,29395.6,43686.7,30179.9,46071.4,40930.9,52731.3,28177.6,36867.7,35491.3,39378.5
"GCNT1",977.464,1345.13,730.671,1119.65,1036.15,719.203,955.649,998.26,492.579,1057.51,526.382,893.13,679.63,1134.91,NA,NA,NA,537.872,875.555,1381.05,285.673,698.435
"GDAP2",NA,NA,1144.21,NA,1519.07,434.139,934.227,944.061,1373.2,865.208,1719.41,1878.96,1168.16,1793.9,1135.01,1268.33,562.448,1497.38,1758.47,1047.62,1298.26,685.18
"GDE1",2010.13,3776.65,4136.19,5852.52,2093.45,3755.23,3117.89,2948.65,3849.92,4267.53,2593.91,6276.18,3133.56,3602.26,2285.71,8023.53,2285.41,7351.86,3064.8,4433.73,3426.86,3718.49
"GDF15",10515.1,776.912,16183.2,1862.64,10487.5,2181.54,16762.5,1769.64,14185.2,2520.18,7167.75,1866.48,4996.88,4225.54,3960.53,2831.85,2469.75,4064.07,7159.88,1115.5,2836.08,NA
"GDI1",55816.6,49680.8,62107.6,44775.8,44810.5,41166.5,37863.8,37671.4,75975.9,58627.8,46404.5,50316.2,37442.1,45534,83151.9,100147,91175.2,96061.3,44934,61035.4,64996.6,63905.6
"NA.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GDI2",121581,123641,117973,109225,97583.7,119911,75841.5,96263.8,120367,125988,121969,125893,91809.7,117802,109113,154995,114349,143604,82717.9,120875,106989,134456
"GEMIN2",8673.45,2571.77,11335.7,26.4581,13820.4,5898.42,9444.92,16950.4,2729.49,23752.3,8672.64,12160.6,10038.4,5298.54,2000.99,6838.64,6623.13,3270.02,8800.44,2748.45,14276.6,3925.69
"GEMIN4",1056.74,1698.5,1224.02,991.855,NA,980.504,1749.31,1339.07,1044.6,991.763,1238.71,1136.75,480,212.576,320.027,900.874,1418.13,809.096,882.675,743.669,893.179,783.634
"GEMIN5",3611.16,3060.57,2768.6,2641.78,2827.49,3515.53,4662.95,3864.9,3328.62,2280.64,2793.23,3559.95,2104.82,2980.24,2331.39,2760.11,3373.87,2779.84,2655.25,2295.69,3136.06,2437.89
"GEMIN6",1249.52,1004.67,1107.63,1266.44,2234.48,1752.97,1598.15,1955.57,1494.08,883.178,1469.52,994.535,1121.42,NA,1087.99,1334.93,1683.43,1399.46,985.339,794.407,1378.83,596.345
