Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
NAP1L1;NAP1L4	111211	179022	126516	134951	121372	135919	125889	123948	135894	115217	85120.2	128252	88622.8	115797	110644	46619.6	120765	98889.6	224645	138119	116061	227573	138576	118174
NAP1L4	22730.7	16981.3	20182	15687.7	41994.5	23883.8	24768.8	25183.7	31108.3	21526.3	27760.6	27498.1	18654.6	13384.8	16947.1	5319.86	19902.8	13050.7	26736	19142.8	25265.4	30632.7	22070.6	27416.9
NAP1L5	1823.24	1854.93	1039.47	1096.99	759.529	2250.67	1478.2	1034.98	1409.39	1186.95	1626.69	1943.03	953.434	1713.44	441.575	774.806	1058.38	866.296	1361.48	1434.81	717.189	1084.3	632.815	1502.27
NAPA	42669.4	37900.2	60721.7	32258.9	64842.1	56865.2	45997.6	52292.2	75270.9	70274.7	62603.2	56916.6	60475.3	43401.8	79067.1	54681.9	53697.5	44569.8	62242.1	43249.1	68937.3	54143	63694.2	47695.7
NAPG	6911.64	7573.31	9443.06	6426.3	7821.25	9109.48	6257.41	5419.1	9600.75	13394.6	8082.4	10429.3	6198.15	7729.61	5799.8	8024.96	5724.49	9927.33	5917.34	7986.24	5704.08	7384.72	6706.15	7515.96
NAPRT	4497.57	6319.31	4286.7	4747.9	3147.44	1905.47	2267.47	4281.92	3748.45	3356.88	3063.93	3688.01	4647.45	3536.28	1725.21	1585.4	2160.62	1737.63	2784.89	1209.55	3262.02	4524.74	1652.43	2831.59
NARF					5728.56	1554.15							1648.67					1601.9						
NARS1	151359	172287	205568	144913	135648	141578	137116	130126	213096	214854	153628	150568	129557	208790	185179	220115	215806	279567	222771	269567	183797	210207	190893	174342
NARS2	2525.24	2841.01	3038.4	1672.47	2395.97	1603.6	2439.92	2699.34	2478.49	2743.6	3087.28	2408.11	2480.07	3998.65	1352.51	2854.49	2194.49	4182.56	2205.75	3183.62	1766.57	2342.75	1377.39	2813.8
NASP	5962.64	3977.33	4132.24	3865.43	15899	9646.02	8415.14	6718.16	8228.62	4605.89	7795.53	6095.38	7639.01	6400.97	2958.49	2221.63	3829.94	4051.82	5138.54	4705.54	7683.81	6584.71	9686.95	8671.93
